#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 01 00 00 241 16.0 18.2 99.00 99.00 99.00 999 1010.5  -7.1 999.0 -10.8 99.0 99.00
2015 01 01 01 00 259 16.4 20.5 99.00 99.00 99.00 999 1010.7  -6.4 999.0 -10.5 99.0 99.00
2015 01 01 02 00 254 16.4 18.6 99.00 99.00 99.00 999 1010.4  -6.8 999.0 -11.2 99.0 99.00
2015 01 01 03 00 266 17.3 19.8 99.00 99.00 99.00 999 1010.7  -7.1 999.0 -11.2 99.0 99.00
2015 01 01 04 00 271 14.8 17.7 99.00 99.00 99.00 999 1010.4  -7.4 999.0 -11.2 99.0 99.00
2015 01 01 05 00 285 13.8 16.0 99.00 99.00 99.00 999 1009.9  -7.5 999.0 -11.7 99.0 99.00
2015 01 01 06 00 265  9.8 13.3 99.00 99.00 99.00 999 1008.9  -7.2 999.0 -10.6 99.0 99.00
2015 01 01 07 00 264 11.7 13.4 99.00 99.00 99.00 999 1007.7  -6.8 999.0 -10.3 99.0 99.00
2015 01 01 08 00 272 11.8 13.2 99.00 99.00 99.00 999 1007.2  -6.1 999.0  -9.7 99.0 99.00
2015 01 01 09 00 264 11.5 12.9 99.00 99.00 99.00 999 1006.5  -5.4 999.0  -8.6 99.0 99.00
2015 01 01 10 00 230 11.3 13.3 99.00 99.00 99.00 999 1005.7  -6.8 999.0  -8.5 99.0 99.00
2015 01 01 11 00 236 10.3 13.3 99.00 99.00 99.00 999 1004.8  -5.5 999.0  -7.0 99.0 99.00
2015 01 01 12 00 243 13.2 15.5 99.00 99.00 99.00 999 1004.4  -4.3 999.0  -4.9 99.0 99.00
2015 01 01 13 00 277 14.6 17.5 99.00 99.00 99.00 999 1004.8  -3.3 999.0  -6.9 99.0 99.00
2015 01 01 14 00 282 12.2 14.1 99.00 99.00 99.00 999 1005.9  -3.6 999.0  -8.8 99.0 99.00
2015 01 01 15 00 285 11.1 13.7 99.00 99.00 99.00 999 1006.8  -3.6 999.0  -9.6 99.0 99.00
2015 01 01 16 00 291 11.4 15.2 99.00 99.00 99.00 999 1007.3  -3.8 999.0 -11.1 99.0 99.00
2015 01 01 17 00 302 11.0 13.4 99.00 99.00 99.00 999 1008.5  -4.8 999.0 -12.0 99.0 99.00
2015 01 01 18 00 318 13.3 15.9 99.00 99.00 99.00 999 1009.2  -5.9 999.0 -15.3 99.0 99.00
2015 01 01 19 00 308 11.4 14.4 99.00 99.00 99.00 999 1010.2  -6.4 999.0 -15.6 99.0 99.00
2015 01 01 20 00 299 11.2 12.7 99.00 99.00 99.00 999 1011.5  -6.9 999.0 -19.3 99.0 99.00
2015 01 01 21 00 314 10.7 12.8 99.00 99.00 99.00 999 1013.1  -7.3 999.0 -20.3 99.0 99.00
2015 01 01 22 00 296 10.9 12.9 99.00 99.00 99.00 999 1014.3  -7.1 999.0 -17.4 99.0 99.00
2015 01 01 23 00 297 10.2 12.2 99.00 99.00 99.00 999 1015.8  -7.7 999.0 -19.3 99.0 99.00
2015 01 02 00 00 305  8.1 10.0 99.00 99.00 99.00 999 1016.7  -7.5 999.0 -17.3 99.0 99.00
2015 01 02 01 00 310  9.6 12.3 99.00 99.00 99.00 999 1017.7  -8.7 999.0 -20.0 99.0 99.00
2015 01 02 02 00 291 10.5 12.7 99.00 99.00 99.00 999 1018.7  -8.9 999.0 -19.7 99.0 99.00
2015 01 02 03 00 295  8.2 10.2 99.00 99.00 99.00 999 1019.7  -9.9 999.0 -20.0 99.0 99.00
2015 01 02 04 00 302  8.1 10.9 99.00 99.00 99.00 999 1020.4 -10.7 999.0 -18.7 99.0 99.00
2015 01 02 05 00 304  9.3 11.4 99.00 99.00 99.00 999 1021.0 -11.3 999.0 -19.3 99.0 99.00
2015 01 02 06 00 315 11.2 13.2 99.00 99.00 99.00 999 1021.2 -11.6 999.0 -17.6 99.0 99.00
2015 01 02 07 00 310  8.4 10.0 99.00 99.00 99.00 999 1021.4 -11.8 999.0 -18.1 99.0 99.00
2015 01 02 08 00 308  9.7 11.3 99.00 99.00 99.00 999 1022.1 -11.7 999.0 -17.3 99.0 99.00
2015 01 02 09 00 309  6.3  8.6 99.00 99.00 99.00 999 1022.0 -11.8 999.0 -15.6 99.0 99.00
2015 01 02 10 00 323  8.8 10.3 99.00 99.00 99.00 999 1022.1 -11.6 999.0 -15.1 99.0 99.00
2015 01 02 11 00 321  4.1  5.0 99.00 99.00 99.00 999 1022.2 -11.4 999.0 -16.2 99.0 99.00
2015 01 02 12 00 289  3.6  4.6 99.00 99.00 99.00 999 1023.0 -10.8 999.0 -16.0 99.0 99.00
2015 01 02 13 00 235  5.0  6.7 99.00 99.00 99.00 999 1023.1 -10.1 999.0 -14.1 99.0 99.00
2015 01 02 14 00 217  6.2  8.5 99.00 99.00 99.00 999 1023.1 -11.5 999.0 -14.5 99.0 99.00
2015 01 02 15 00 219  5.4  6.9 99.00 99.00 99.00 999 1023.5 -11.1 999.0 -14.8 99.0 99.00
2015 01 02 16 00 211  5.4  6.8 99.00 99.00 99.00 999 1023.8 -11.2 999.0 -16.4 99.0 99.00
2015 01 02 17 00 197  3.0  4.4 99.00 99.00 99.00 999 1024.1 -10.9 999.0 -17.9 99.0 99.00
2015 01 02 18 00 218  2.5  3.3 99.00 99.00 99.00 999 1023.2 -10.7 999.0 -17.6 99.0 99.00
2015 01 02 19 00 187  2.8  4.3 99.00 99.00 99.00 999 1022.7 -10.7 999.0 -16.1 99.0 99.00
2015 01 02 20 00 152  2.7  3.9 99.00 99.00 99.00 999 1021.9 -10.5 999.0 -14.9 99.0 99.00
2015 01 02 21 00 196  4.4  6.3 99.00 99.00 99.00 999 1021.9 -10.2 999.0 -14.3 99.0 99.00
2015 01 02 22 00 185  3.2  4.9 99.00 99.00 99.00 999 1021.5  -9.6 999.0 -13.7 99.0 99.00
2015 01 02 23 00 190  3.7  4.9 99.00 99.00 99.00 999 1021.2  -8.7 999.0 -13.7 99.0 99.00
2015 01 03 00 00 194  2.8  4.0 99.00 99.00 99.00 999 1021.2  -8.0 999.0 -13.4 99.0 99.00
2015 01 03 01 00 180  3.2  4.2 99.00 99.00 99.00 999 1021.1  -7.4 999.0 -12.2 99.0 99.00
2015 01 03 02 00 176  2.7  4.1 99.00 99.00 99.00 999 1020.6  -6.7 999.0 -11.2 99.0 99.00
2015 01 03 03 00 199  3.1  4.2 99.00 99.00 99.00 999 1020.3  -6.1 999.0 -10.1 99.0 99.00
2015 01 03 04 00 172  2.4  3.1 99.00 99.00 99.00 999 1019.6  -5.8 999.0  -9.9 99.0 99.00
2015 01 03 05 00 184  4.3  6.5 99.00 99.00 99.00 999 1019.4  -5.0 999.0  -9.4 99.0 99.00
2015 01 03 06 00 186  4.7  6.2 99.00 99.00 99.00 999 1018.1  -4.3 999.0  -9.2 99.0 99.00
2015 01 03 07 00 165  3.1  3.8 99.00 99.00 99.00 999 1017.3  -4.0 999.0  -8.8 99.0 99.00
2015 01 03 08 00 168  2.1  2.7 99.00 99.00 99.00 999 1016.8  -3.8 999.0  -8.3 99.0 99.00
2015 01 03 09 00 195  4.5  6.5 99.00 99.00 99.00 999 1016.7  -3.5 999.0  -7.4 99.0 99.00
2015 01 03 10 00 173  6.4  8.1 99.00 99.00 99.00 999 1015.3  -3.6 999.0  -7.5 99.0 99.00
2015 01 03 11 00 178  4.1  6.5 99.00 99.00 99.00 999 1014.4  -3.8 999.0  -8.2 99.0 99.00
2015 01 03 12 00 183  6.3  8.4 99.00 99.00 99.00 999 1013.9  -3.4 999.0  -7.4 99.0 99.00
2015 01 03 13 00 170  4.2  6.9 99.00 99.00 99.00 999 1013.5  -3.7 999.0  -7.7 99.0 99.00
2015 01 03 14 00 184  4.3  6.2 99.00 99.00 99.00 999 1013.6  -3.4 999.0  -7.4 99.0 99.00
2015 01 03 15 00 181  3.0  4.4 99.00 99.00 99.00 999 1013.6  -3.1 999.0  -6.9 99.0 99.00
2015 01 03 16 00 164  1.9  2.8 99.00 99.00 99.00 999 1012.7  -2.9 999.0  -6.5 99.0 99.00
2015 01 03 17 00 166  3.3  4.8 99.00 99.00 99.00 999 1012.3  -2.5 999.0  -5.9 99.0 99.00
2015 01 03 18 00 202  4.7  5.8 99.00 99.00 99.00 999 1012.7  -2.4 999.0  -5.6 99.0 99.00
2015 01 03 19 00 244  3.9  5.3 99.00 99.00 99.00 999 1012.1  -2.3 999.0  -5.8 99.0 99.00
2015 01 03 20 00 283  5.2  6.2 99.00 99.00 99.00 999 1011.6  -1.7 999.0  -5.2 99.0 99.00
2015 01 03 21 00 285  3.3  3.8 99.00 99.00 99.00 999 1012.3  -1.8 999.0  -4.7 99.0 99.00
2015 01 03 22 00 326  2.1  2.5 99.00 99.00 99.00 999 1012.8  -1.6 999.0  -4.2 99.0 99.00
2015 01 03 23 00 340  4.1  4.8 99.00 99.00 99.00 999 1013.7  -1.3 999.0  -3.9 99.0 99.00
2015 01 04 00 00 350 14.7 17.2 99.00 99.00 99.00 999 1015.5  -5.5 999.0  -7.5 99.0 99.00
2015 01 04 01 00   1 16.2 18.0 99.00 99.00 99.00 999 1016.9  -8.0 999.0 -10.0 99.0 99.00
2015 01 04 02 00   1 15.3 16.7 99.00 99.00 99.00 999 1018.0  -8.8 999.0 -10.9 99.0 99.00
2015 01 04 03 00 355 12.5 14.3 99.00 99.00 99.00 999 1018.9  -9.7 999.0 -11.6 99.0 99.00
2015 01 04 04 00   2 13.3 15.9 99.00 99.00 99.00 999 1019.2 -10.3 999.0 -11.9 99.0 99.00
2015 01 04 05 00   8 12.0 14.4 99.00 99.00 99.00 999 1019.5 -10.6 999.0 -12.4 99.0 99.00
2015 01 04 06 00 355 12.8 14.3 99.00 99.00 99.00 999 1021.2 -12.0 999.0 -13.4 99.0 99.00
2015 01 04 07 00 351 11.3 12.7 99.00 99.00 99.00 999 1022.3 -13.0 999.0 -14.7 99.0 99.00
2015 01 04 08 00 340 11.6 13.7 99.00 99.00 99.00 999 1022.5 -13.8 999.0 -15.1 99.0 99.00
2015 01 04 09 00 346 11.4 14.7 99.00 99.00 99.00 999 1022.6 -14.7 999.0 -16.1 99.0 99.00
2015 01 04 10 00 338 11.1 13.8 99.00 99.00 99.00 999 1023.3 -15.9 999.0 -17.5 99.0 99.00
2015 01 04 11 00 333  9.7 12.0 99.00 99.00 99.00 999 1023.9 -16.8 999.0 -18.5 99.0 99.00
2015 01 04 12 00 338 10.8 13.0 99.00 99.00 99.00 999 1025.4 -18.5 999.0 -20.2 99.0 99.00
2015 01 04 13 00 327 11.5 13.6 99.00 99.00 99.00 999 1026.5 -18.8 999.0 -20.8 99.0 99.00
