Great Lakes Coastal Forecasting System (Nowcast)
Requested Longitude: -91.0343 degree
Requested Latitude: 46.9050 degree
Lake:Superior
Date/Time(GMT-0500),Significant Wave Height(feet),
2015-06-02 00:00:00 -0500,0.6493,
2015-06-02 01:00:00 -0500,0.4725,
2015-06-02 02:00:00 -0500,0.3506,
2015-06-02 03:00:00 -0500,0.2672,
2015-06-02 04:00:00 -0500,0.1774,
2015-06-02 05:00:00 -0500,0.0906,
2015-06-02 06:00:00 -0500,0.1354,
2015-06-02 07:00:00 -0500,0.1530,
2015-06-02 08:00:00 -0500,0.1897,
2015-06-02 09:00:00 -0500,0.1947,
2015-06-02 10:00:00 -0500,0.2127,
2015-06-02 11:00:00 -0500,0.2907,
2015-06-02 12:00:00 -0500,0.3773,
2015-06-02 13:00:00 -0500,0.3384,
2015-06-02 14:00:00 -0500,0.3751,
2015-06-02 15:00:00 -0500,0.3526,
2015-06-02 16:00:00 -0500,0.3781,
2015-06-02 17:00:00 -0500,0.4236,
2015-06-02 18:00:00 -0500,0.4341,
2015-06-02 19:00:00 -0500,0.4047,
2015-06-02 20:00:00 -0500,0.4229,
2015-06-02 21:00:00 -0500,0.3712,
2015-06-02 22:00:00 -0500,0.3445,
2015-06-02 23:00:00 -0500,0.3164,
2015-06-03 00:00:00 -0500,0.2596,
2015-06-03 01:00:00 -0500,0.2081,
2015-06-03 02:00:00 -0500,0.2395,
2015-06-03 03:00:00 -0500,0.1797,
2015-06-03 04:00:00 -0500,0.1564,
2015-06-03 05:00:00 -0500,0.1146,
2015-06-03 06:00:00 -0500,0.1777,
2015-06-03 07:00:00 -0500,0.2697,
2015-06-03 08:00:00 -0500,0.3318,
2015-06-03 09:00:00 -0500,0.3055,
2015-06-03 10:00:00 -0500,0.2703,
2015-06-03 11:00:00 -0500,0.2116,
2015-06-03 12:00:00 -0500,0.1702,
2015-06-03 13:00:00 -0500,0.1518,
2015-06-03 14:00:00 -0500,0.1870,
2015-06-03 15:00:00 -0500,0.1793,
2015-06-03 16:00:00 -0500,0.1729,
2015-06-03 17:00:00 -0500,0.1713,
2015-06-03 18:00:00 -0500,0.1778,
2015-06-03 19:00:00 -0500,0.1762,
2015-06-03 20:00:00 -0500,0.1945,
2015-06-03 21:00:00 -0500,0.1926,
2015-06-03 22:00:00 -0500,0.1888,
2015-06-03 23:00:00 -0500,0.1820,
2015-06-04 00:00:00 -0500,0.2003,
2015-06-04 01:00:00 -0500,0.2526,
2015-06-04 02:00:00 -0500,0.3610,
2015-06-04 03:00:00 -0500,0.3675,
2015-06-04 04:00:00 -0500,0.3492,
2015-06-04 05:00:00 -0500,0.3308,
2015-06-04 06:00:00 -0500,0.3133,
2015-06-04 07:00:00 -0500,0.3674,
2015-06-04 08:00:00 -0500,0.4131,
2015-06-04 09:00:00 -0500,0.3953,
2015-06-04 10:00:00 -0500,0.3683,
2015-06-04 11:00:00 -0500,0.3430,
2015-06-04 12:00:00 -0500,0.3285,
2015-06-04 13:00:00 -0500,0.2424,
2015-06-04 14:00:00 -0500,0.2048,
2015-06-04 15:00:00 -0500,0.1923,
2015-06-04 16:00:00 -0500,0.2812,
2015-06-04 17:00:00 -0500,0.3903,
2015-06-04 18:00:00 -0500,0.3569,
2015-06-04 19:00:00 -0500,0.3202,
2015-06-04 20:00:00 -0500,0.3722,
2015-06-04 21:00:00 -0500,0.3482,
2015-06-04 22:00:00 -0500,0.2926,
2015-06-04 23:00:00 -0500,0.2586,
2015-06-05 00:00:00 -0500,0.2466,
2015-06-05 01:00:00 -0500,0.2384,
2015-06-05 02:00:00 -0500,0.2202,
2015-06-05 03:00:00 -0500,0.1296,
2015-06-05 04:00:00 -0500,0.0312,
2015-06-05 05:00:00 -0500,0.0294,
2015-06-05 06:00:00 -0500,0.0270,
2015-06-05 07:00:00 -0500,0.0362,
2015-06-05 08:00:00 -0500,0.0671,
2015-06-05 09:00:00 -0500,0.0829,
2015-06-05 10:00:00 -0500,0.1340,
2015-06-05 11:00:00 -0500,0.3530,
2015-06-05 12:00:00 -0500,0.6248,
2015-06-05 13:00:00 -0500,0.7521,
2015-06-05 14:00:00 -0500,0.9010,
2015-06-05 15:00:00 -0500,0.8340,
2015-06-05 16:00:00 -0500,0.8240,
2015-06-05 17:00:00 -0500,0.8915,
2015-06-05 18:00:00 -0500,0.8937,
2015-06-05 19:00:00 -0500,0.8587,
2015-06-05 20:00:00 -0500,0.8809,
2015-06-05 21:00:00 -0500,0.8062,
2015-06-05 22:00:00 -0500,0.7142,
2015-06-05 23:00:00 -0500,0.5692,
2015-06-06 00:00:00 -0500,0.4721,
2015-06-06 01:00:00 -0500,0.4314,
2015-06-06 02:00:00 -0500,0.4886,
2015-06-06 03:00:00 -0500,0.4381,
2015-06-06 04:00:00 -0500,0.3962,
2015-06-06 05:00:00 -0500,0.3824,
2015-06-06 06:00:00 -0500,0.3539,
2015-06-06 07:00:00 -0500,0.3273,
2015-06-06 08:00:00 -0500,0.4141,
2015-06-06 09:00:00 -0500,0.4020,
2015-06-06 10:00:00 -0500,0.4468,
2015-06-06 11:00:00 -0500,0.5427,
2015-06-06 12:00:00 -0500,0.5894,
2015-06-06 13:00:00 -0500,0.6824,
2015-06-06 14:00:00 -0500,0.9481,
2015-06-06 15:00:00 -0500,1.0466,
2015-06-06 16:00:00 -0500,1.1012,
2015-06-06 17:00:00 -0500,1.1111,
2015-06-06 18:00:00 -0500,1.0345,
2015-06-06 19:00:00 -0500,0.9552,
2015-06-06 20:00:00 -0500,0.8766,
2015-06-06 21:00:00 -0500,0.7778,
2015-06-06 22:00:00 -0500,0.9453,
2015-06-06 23:00:00 -0500,1.0642,
2015-06-07 00:00:00 -0500,1.0777,
2015-06-07 01:00:00 -0500,1.0795,
2015-06-07 02:00:00 -0500,1.1323,
2015-06-07 03:00:00 -0500,0.9194,
2015-06-07 04:00:00 -0500,0.5575,
2015-06-07 05:00:00 -0500,0.1081,
2015-06-07 06:00:00 -0500,0.0215,
2015-06-07 07:00:00 -0500,0.0726,
2015-06-07 08:00:00 -0500,0.1962,
2015-06-07 09:00:00 -0500,0.3278,
2015-06-07 10:00:00 -0500,0.4002,
2015-06-07 11:00:00 -0500,0.4624,
2015-06-07 12:00:00 -0500,0.4783,
2015-06-07 13:00:00 -0500,0.4714,
2015-06-07 14:00:00 -0500,0.4539,
2015-06-07 15:00:00 -0500,0.4349,
2015-06-07 16:00:00 -0500,0.3811,
2015-06-07 17:00:00 -0500,0.2985,
2015-06-07 18:00:00 -0500,0.2016,
2015-06-07 19:00:00 -0500,0.1399,
2015-06-07 20:00:00 -0500,0.1298,
2015-06-07 21:00:00 -0500,0.1287,
2015-06-07 22:00:00 -0500,0.1313,
2015-06-07 23:00:00 -0500,0.2084,
2015-06-08 00:00:00 -0500,0.2569,
2015-06-08 01:00:00 -0500,0.2523,
2015-06-08 02:00:00 -0500,0.2699,
